No,Yapım Yılı,Şehir,Yapı,Ülke,Mimar,Mimari Üslup,Kullanım Amacı,Yükseklik/Ölçü,UNESCO Mirası,İlginç Bilgi,Görsel
26,1568-1574,Edirne,Selimiye Camii,Türkiye,Mimar Sinan,Klasik Osmanlı,Cami,70.9 m minare,Evet,Mimar Sinan'ın ustalık eseri,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Selimiye_Mosque_%2815051985908%29_%28cropped%29.jpg/330px-Selimiye_Mosque_%2815051985908%29_%28cropped%29.jpg
27,1609-1616,İstanbul,Sultanahmet Camii,Türkiye,Sedefkar Mehmed Ağa,Klasik Osmanlı,Cami,43 m kubbe,Evet,Altı minaresiyle Mavi Cami,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Istanbul_%2834223582516%29_%28cropped%29.jpg/330px-Istanbul_%2834223582516%29_%28cropped%29.jpg
28,1632-1653,Agra,Tac Mahal,Hindistan,Üstad Ahmed Lahori,Babür,Anıt Mezar,73 m,Evet,Bir aşk anıtı olarak yapıldı,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Taj_Mahal_%28Edited%29.jpeg/330px-Taj_Mahal_%28Edited%29.jpeg
29,1661-1710,Versay,Versay Sarayı,Fransa,Louis Le Vau,Barok,Saray,63154 m² alan,Evet,Aynalı Galerisiyle ünlü,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Vue_a%C3%A9rienne_du_domaine_de_Versailles_par_ToucanWings_-_Creative_Commons_By_Sa_3.0_-_081_%28cropped%29.jpg/330px-Vue_a%C3%A9rienne_du_domaine_de_Versailles_par_ToucanWings_-_Creative_Commons_By_Sa_3.0_-_081_%28cropped%29.jpg
30,1843-1856,İstanbul,Dolmabahçe Sarayı,Türkiye,Garabet Balyan ve Nigoğos Balyan,Barok,Saray,110000 m² alan,Hayır,Osmanlı'nın son büyük sarayı,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Dolmabahce_Istanbul_Turkey.jpg/330px-Dolmabahce_Istanbul_Turkey.jpg
31,1843-1859,Londra,Big Ben,Birleşik Krallık,Augustus Pugin,Neogotik,Saat Kulesi,96 m,Evet,Kule adı aslında Elizabeth Kulesi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Big_Ben.jpg/330px-Big_Ben.jpg
32,1875-1886,New York,Özgürlük Anıtı,ABD,Frédéric Auguste Bartholdi,Neoklasik,Anıt,93 m,Evet,Fransa'nın ABD'ye armağanı,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Front_view_of_Statue_of_Liberty_%28cropped%29.jpg/330px-Front_view_of_Statue_of_Liberty_%28cropped%29.jpg
33,1882-2026,Barselona,Sagrada Familia,İspanya,Antoni Gaudí,Katalan Modernizmi,Kilise,172 m,Evet,Hala tamamlanma aşamasında,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/%CE%A3%CE%B1%CE%B3%CF%81%CE%AC%CE%B4%CE%B1_%CE%A6%CE%B1%CE%BC%CE%AF%CE%BB%CE%B9%CE%B1_2941.jpg/330px-%CE%A3%CE%B1%CE%B3%CF%81%CE%AC%CE%B4%CE%B1_%CE%A6%CE%B1%CE%BC%CE%AF%CE%BB%CE%B9%CE%B1_2941.jpg
34,1887-1889,Paris,Eyfel Kulesi,Fransa,Gustave Eiffel,Demir Mimari,Gözlem Kulesi,330 m,Evet,Yapıldığında dünyanın en yüksek yapısı,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Tour_Eiffel_Wikimedia_Commons.jpg/330px-Tour_Eiffel_Wikimedia_Commons.jpg
35,1930-1931,New York,Empire State Binası,ABD,William F. Lamb,Art Deco,Ofis,443 m,Hayır,Art Deco gökdelen simgesi,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Empire_State_Building_%28aerial_view%29.jpg/330px-Empire_State_Building_%28aerial_view%29.jpg
36,1933-1937,San Francisco,Golden Gate Köprüsü,ABD,Joseph Strauss,Art Deco,Köprü,227 m kule,Hayır,Turuncu rengiyle simgeleşti,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Golden_Gate_Bridge_as_seen_from_Battery_East.jpg/330px-Golden_Gate_Bridge_as_seen_from_Battery_East.jpg
37,1936-1939,Pennsylvania,Fallingwater,ABD,Frank Lloyd Wright,Organik Mimari,Konut,9 m,Evet,Şelale üzerine kurulu ev,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Fallingwater3.jpg/330px-Fallingwater3.jpg
38,1944-1953,Ankara,Anıtkabir,Türkiye,Emin Onat ve Orhan Arda,II. Ulusal Mimarlık,Anıt Mezar,17 m,Hayır,Atatürk'ün anıt mezarı,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Ataturk%27s_Mausoleum_%286225341313%29.jpg/330px-Ataturk%27s_Mausoleum_%286225341313%29.jpg
39,1959-1973,Sidney,Sydney Opera Binası,Avustralya,Jørn Utzon,Ekspresyonist Modern,Opera Binası,65 m,Evet,Yelken biçimli çatı kabukları,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Sydney_Australia._%2821339175489%29.jpg/330px-Sydney_Australia._%2821339175489%29.jpg
40,1993-1997,Bilbao,Guggenheim Müzesi Bilbao,İspanya,Frank Gehry,Dekonstrüktivizm,Müze,50 m,Hayır,Titanyum kaplı modern müze,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Museo_Guggenheim%2C_Bilbao_%2831273245344%29.jpg/330px-Museo_Guggenheim%2C_Bilbao_%2831273245344%29.jpg
41,1993-1998,Kuala Lumpur,Petronas İkiz Kuleleri,Malezya,César Pelli,Postmodern,Ofis,452 m,Hayır,Uzun süre en yüksek ikiz kuleydi,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Petronas_Panorama_II.jpg/330px-Petronas_Panorama_II.jpg
42,2004-2010,Dubai,Burç Halife,Birleşik Arap Emirlikleri,Adrian Smith,Neo-fütürizm,Gökdelen,828 m,Hayır,Dünyanın en yüksek yapısı,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Burj_Khalifa_%28worlds_tallest_building%29_and_the_Dubai_skyline_%2825781049892%29.jpg/330px-Burj_Khalifa_%28worlds_tallest_building%29_and_the_Dubai_skyline_%2825781049892%29.jpg
43,MÖ 1200,Paskalya Adası,Moai Heykelleri,Şili,-,Rapa Nui,Anıt Heykel,10 m,Evet,Dev taş insan heykelleri,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/AhuTongariki.jpg/330px-AhuTongariki.jpg
44,600-900,Yucatan,Chichen Itza,Meksika,-,Maya,Piramit Tapınak,30 m,Evet,Kukulkan piramidiyle ünlü,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Chichen_Itza_3.jpg/330px-Chichen_Itza_3.jpg
45,687-691,Kudüs,Kubbetü's Sahra,İsrail,-,Emevi,Türbe,35 m kubbe,Evet,Altın kubbesiyle simge yapı,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Jerusalem-2013%282%29-Temple_Mount-Dome_of_the_Rock_%28SE_exposure%29.jpg/330px-Jerusalem-2013%282%29-Temple_Mount-Dome_of_the_Rock_%28SE_exposure%29.jpg
46,705-715,Şam,Emevi Camii,Suriye,-,Emevi,Cami,45 m minare,Evet,İslam dünyasının en eski camilerinden,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Umayyad_Mosque%2C_Damascus.jpg/330px-Umayyad_Mosque%2C_Damascus.jpg
47,784-987,Kurtuba,Kurtuba Camii,İspanya,-,Endülüs İslam,Cami-Katedral,20 m,Evet,Çift renkli kemerleriyle ünlü,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Mezquita_de_C%C3%B3rdoba_desde_el_aire_%28C%C3%B3rdoba%2C_Espa%C3%B1a%29.jpg/330px-Mezquita_de_C%C3%B3rdoba_desde_el_aire_%28C%C3%B3rdoba%2C_Espa%C3%B1a%29.jpg
48,1406-1420,Pekin,Yasak Şehir,Çin,-,Ming,Saray,72 hektar,Evet,Çin imparatorlarının sarayı,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Forbidden_City_Courtyard.jpg/330px-Forbidden_City_Courtyard.jpg
49,1417-1636,Semerkant,Registan Meydanı,Özbekistan,-,Timurlu,Medrese,35 m minare,Evet,Üç medreseden oluşan meydan,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Samarkand%2C_Registan%2C_Ulugbek_Medressa_%286238565020%29.jpg/330px-Samarkand%2C_Registan%2C_Ulugbek_Medressa_%286238565020%29.jpg
50,800-825,Merkez Java,Borobudur,Endonezya,-,Budist,Tapınak,35 m,Evet,Dünyanın en büyük Budist tapınağı,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Borobudur_Tap%C4%B1na%C4%9F%C4%B1.jpg/330px-Borobudur_Tap%C4%B1na%C4%9F%C4%B1.jpg
51,1645-1694,Lhasa,Potala Sarayı,Çin,-,Tibet,Saray,117 m,Evet,Dalay Lama'nın kışlık sarayı,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/%E5%B8%83%E8%BE%BE%E6%8B%89%E5%AE%AB.jpg/330px-%E5%B8%83%E8%BE%BE%E6%8B%89%E5%AE%AB.jpg
52,1063-1350,Pisa,Pisa Katedrali,İtalya,Buscheto,Roman,Kilise,32 m,Evet,Eğik kulesiyle aynı meydanda,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Pisa_-_Cattedrale_da_Battistero_02.jpg/330px-Pisa_-_Cattedrale_da_Battistero_02.jpg
53,1248-1880,Köln,Köln Katedrali,Almanya,-,Gotik,Kilise,157 m,Evet,600 yılda tamamlanan Gotik dev,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/K%C3%B6lner_Dom_-_Westfassade_2022_ohne_Ger%C3%BCst-0968_b.jpg/330px-K%C3%B6lner_Dom_-_Westfassade_2022_ohne_Ger%C3%BCst-0968_b.jpg
54,1386-1965,Milano,Milano Katedrali,İtalya,-,Gotik,Kilise,108 m,Evet,İtalya'nın en büyük katedrali,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Milan_Cathedral_from_Piazza_del_Duomo.jpg/330px-Milan_Cathedral_from_Piazza_del_Duomo.jpg
55,1401-1519,Sevilla,Sevilla Katedrali,İspanya,-,Gotik,Kilise,105 m,Evet,Dünyanın en büyük Gotik katedrali,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Spain_Andalusia_Seville_BW_2015-10-23_14-30-44.jpg/330px-Spain_Andalusia_Seville_BW_2015-10-23_14-30-44.jpg
56,1631-1687,Venedik,Santa Maria della Salute,İtalya,Baldassare Longhena,Barok,Kilise,66 m,Hayır,Venedik'in simge kilisesi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Santa_Maria_della_Salute_Venice.JPG/330px-Santa_Maria_della_Salute_Venice.JPG
57,1799,Doğubayazıt,İshak Paşa Sarayı,Türkiye,-,Osmanlı,Saray,7600 m² alan,Hayır,Doğu Anadolu'nun görkemli sarayı,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/ISHAKPASA_SARAYI.jpg/330px-ISHAKPASA_SARAYI.jpg
58,MS 2. yüzyıl,Efes,Celsus Kütüphanesi,Türkiye,-,Antik Roma,Kütüphane,16 m,Evet,Antik dünyanın büyük kütüphanesi,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Ephesus_Celsus_Library_Fa%C3%A7ade.jpg/330px-Ephesus_Celsus_Library_Fa%C3%A7ade.jpg
59,MS 155,Antalya,Aspendos Tiyatrosu,Türkiye,Zenon,Antik Roma,Tiyatro,15 bin kişi,Hayır,En iyi korunan antik tiyatro,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Aspendos_Amphitheatre.jpg/330px-Aspendos_Amphitheatre.jpg
60,1452,İstanbul,Rumeli Hisarı,Türkiye,-,Osmanlı,Kale,82 m kule,Hayır,Fetih öncesi boğaza yapıldı,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Istanbul%2C_Turkey_-_53686764072.jpg/330px-Istanbul%2C_Turkey_-_53686764072.jpg
61,1863-1867,İstanbul,Beylerbeyi Sarayı,Türkiye,Sarkis Balyan,Barok,Saray,2500 m² alan,Hayır,Boğaz kıyısındaki yazlık saray,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Beylerbeyi_Palace_%28cropped%29.jpg/330px-Beylerbeyi_Palace_%28cropped%29.jpg
62,1863-1872,İstanbul,Çırağan Sarayı,Türkiye,Nigoğos Balyan,Barok,Saray,300 m cephe,Hayır,Boğaz kıyısı Osmanlı sarayı,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Istanbul_asv2020-02_img59_%C3%87%C4%B1ra%C4%9Fan_Palace.jpg/330px-Istanbul_asv2020-02_img59_%C3%87%C4%B1ra%C4%9Fan_Palace.jpg
63,18. yüzyıl,Safranbolu,Safranbolu Evleri,Türkiye,-,Osmanlı,Konut,Tarihi kent,Evet,Geleneksel Osmanlı konak mimarisi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Safranbolu_traditional_houses.jpg/330px-Safranbolu_traditional_houses.jpg
64,622,Medine,Mescid-i Nebevi,Suudi Arabistan,-,İslam,Cami,105 m minare,Hayır,Hz. Muhammed'in mescidi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Masjid_Nabawi_The_Prophet%27s_Mosque%2C_Madina.jpg/330px-Masjid_Nabawi_The_Prophet%27s_Mosque%2C_Madina.jpg
65,-,Mekke,Kabe,Suudi Arabistan,-,İslam,İbadet,13 m,Hayır,Müslümanların kıble merkezi,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Kabaa_%28January_2003%29.jpg/330px-Kabaa_%28January_2003%29.jpg
66,1922-1931,Rio de Janeiro,Kurtarıcı İsa Heykeli,Brezilya,Heitor da Silva Costa,Art Deco,Anıt Heykel,38 m,Evet,Rio'nun simgesi dev heykel,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Christ_the_Redeemer_-_Cristo_Redentor.jpg/330px-Christ_the_Redeemer_-_Cristo_Redentor.jpg
67,1859-1869,Süveyş,Süveyş Kanalı,Mısır,Ferdinand de Lesseps,Mühendislik,Su Kanalı,193 km uzunluk,Hayır,Akdeniz ile Kızıldeniz'i bağlar,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Canal_de_Suez.jpg/330px-Canal_de_Suez.jpg
68,1904-1914,Panama,Panama Kanalı,Panama,-,Mühendislik,Su Kanalı,82 km uzunluk,Hayır,İki okyanusu birbirine bağlar,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Panama_Canal_Map_EN.png/330px-Panama_Canal_Map_EN.png
69,1987-2004,Taipei,Taipei 101,Tayvan,C.Y. Lee,Postmodern,Gökdelen,508 m,Hayır,Bir dönem en yüksek binaydı,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Taipei_101_Tuned_Mass_Damper_2010.jpg/330px-Taipei_101_Tuned_Mass_Damper_2010.jpg
70,1271,Sivas,Gök Medrese,Türkiye,-,Anadolu Selçuklu,Medrese,25 m minare,Hayır,Çini süslemeleriyle ünlü Selçuklu eseri,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/G%C3%B6k_medrese_-_Sivas_-_Turquie.jpg/330px-G%C3%B6k_medrese_-_Sivas_-_Turquie.jpg
