No,Yaşadığı Yıllar,Ülke/Devlet,Kumandan,Ünlü Zaferi,Askeri Alanı,Önemli Özelliği,Görsel
17,MÖ 356-MÖ 323,Makedonya,Büyük İskender,Gaugamela Savaşı,Kara,33 yaşında üç kıtaya hükmetti,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Alexander_the_Great_mosaic_%28cropped%29.jpg/330px-Alexander_the_Great_mosaic_%28cropped%29.jpg
18,MÖ 100-MÖ 44,Roma,Jül Sezar,Galya Savaşları,Kara,Roma'yı cumhuriyetten imparatorluğa taşıdı,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Bust_of_Gaius_Iulius_Caesar_in_Naples.jpg/330px-Bust_of_Gaius_Iulius_Caesar_in_Naples.jpg
19,MÖ 247-MÖ 183,Kartaca,Hannibal,Kannae Savaşı,Kara,Fillerle Alpler'i aşarak İtalya'ya girdi,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Hannibal_Barca_bust_from_Capua_photo.jpg/330px-Hannibal_Barca_bust_from_Capua_photo.jpg
20,MÖ 236-MÖ 183,Roma,Scipio Africanus,Zama Savaşı,Kara,Hannibal'i yenen tek komutan,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Artista_italiano_del_XVI_secolo%2C_scipione_l%27africano_%28dall%27antico%29.JPG/330px-Artista_italiano_del_XVI_secolo%2C_scipione_l%27africano_%28dall%27antico%29.JPG
21,1769-1821,Fransa,Napolyon Bonapart,Austerlitz Savaşı,Kara,Modern topçu ve manevra savaşının ustası,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/1801_Antoine-Jean_Gros_-_Bonaparte_on_the_Bridge_at_Arcole.jpg/330px-1801_Antoine-Jean_Gros_-_Bonaparte_on_the_Bridge_at_Arcole.jpg
22,1758-1805,İngiltere,Horatio Nelson,Trafalgar Deniz Savaşı,Deniz,İngiliz deniz üstünlüğünü kurdu,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/HoratioNelson1.jpg/330px-HoratioNelson1.jpg
23,1745-1813,Rusya,Mihail Kutuzov,Borodino Muharebesi,Kara,Napolyon'u Rusya seferinde durdurdu,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Kutuzov_by_Volkov.jpg/330px-Kutuzov_by_Volkov.jpg
24,1896-1974,Sovyetler Birliği,Georgi Jukov,Stalingrad ve Berlin,Kara,Kızıl Ordu'nun en başarılı mareşali,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Zhukov-LIFE-1944-1945.jpg/330px-Zhukov-LIFE-1944-1945.jpg
25,1891-1944,Almanya,Erwin Rommel,Kuzey Afrika seferi,Kara,Çöl Tilkisi lakaplı zırhlı birlik ustası,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Bundesarchiv_Bild_146-1973-012-43%2C_Erwin_Rommel.jpg/330px-Bundesarchiv_Bild_146-1973-012-43%2C_Erwin_Rommel.jpg
26,1890-1969,ABD,Dwight Eisenhower,Normandiya Çıkarması,Kara ve deniz,Müttefik kuvvetlerin başkomutanı,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Dwight_D._Eisenhower%2C_official_photo_portrait%2C_May_29%2C_1959.jpg/330px-Dwight_D._Eisenhower%2C_official_photo_portrait%2C_May_29%2C_1959.jpg
27,1876-1950,Türkiye,Fevzi Çakmak,Sakarya ve Büyük Taarruz,Kara,Kurtuluş Savaşı Genelkurmay Başkanı,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/%C4%B0stanbul_milletvekili_Fevzi_%C3%87akmak.png/330px-%C4%B0stanbul_milletvekili_Fevzi_%C3%87akmak.png
28,1884-1973,Türkiye,İsmet İnönü,İnönü Muharebeleri,Kara,Batı Cephesi komutanı ve Lozan baş delegesi,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Inonu_Ismet_%28cropped%29.jpg/330px-Inonu_Ismet_%28cropped%29.jpg
29,1832-1900,Osmanlı,Gazi Osman Paşa,Plevne Savunması,Kara,93 Harbi'ndeki efsanevi savunmasıyla ünlendi,https://upload.wikimedia.org/wikipedia/commons/7/7b/GhaziOsmanPasha.jpg
30,1635-1676,Osmanlı,Köprülü Fazıl Ahmed Paşa,Kandiye Kuşatması,Kara ve deniz,Girit'in fethini tamamladı,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/K%C3%B6pr%C3%BCl%C3%BC_Ahmed_k%C5%91rajz.jpg/330px-K%C3%B6pr%C3%BCl%C3%BC_Ahmed_k%C5%91rajz.jpg
